OBJECTID,Name & Size,Drive Time Start (MINUTES),Drive Time End (MINUTES),Facility: Name,Facility: DISTRICT,Facility: CountyNum,Facility: COUNTY,Facility: FeatureTyp,Facility: AccessType,Facility: O_PUBLIC,Facility: FEE,Facility: LATITUDE,Facility: LONGITUDE,Facility: Photo_1,Facility: Photo_2,Facility: Photo_3,Facility: Photo_4,Facility: Breaks,Facility: AdditionalTime,Facility: AdditionalDistance,Shape_Length,Shape_Area,Sum TOTPOP_CY,Sum PCI_FY,Sum HISPPOP_CY,Sum NHSPWHT_CY
107,Cowell Beach : 0 - 15,0,15,Cowell Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.961603,-122.023869,https://www.coastal.ca.gov/access-photos/09_santa_cruz/04_santa_cruz_central/Cowell_Beach_SFS_2011_05_01_9569.jpg, , , ,,0,0,2.32853197844247,0.00991288444883229,126218,4951749,27232,83069
108,Santa Cruz Main Beach : 0 - 15,0,15,Santa Cruz Main Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.963435,-122.017302,https://www.coastal.ca.gov/access-photos/09_santa_cruz/04_santa_cruz_central/Santa_Cruz_Main_Beach_2010_06_10_5574.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/04_santa_cruz_central/Santa_Cruz_Main_Beach_2013_11_17_9828.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/04_santa_cruz_central/Santa_Cruz_Main_Beach_2013_11_17_9834.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/04_santa_cruz_central/Santa_Cruz_Main_Beach_SFS_2011_05_01_9610.jpg,,0,0,2.26594201639662,0.0110883520775187,131539,5195554,27784,87530
109,Sunny Cove : 0 - 15,0,15,Sunny Cove,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.960133,-121.989705, , , , ,,0,0,2.30557543839563,0.00915633141380063,119623,5051069,25831,80506
110,Twin Lakes State Beach - East : 0 - 15,0,15,Twin Lakes State Beach - East,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.960086,-121.993936,https://www.coastal.ca.gov/access-photos/09_santa_cruz/06_santa_cruz_east/Twin_Lakes_State_Beach_East_SFS_2011_05_01_9561.jpg, , , ,,0,0,1.73667167707427,0.00747744497386858,111554,4705731,24880,74096
111,Twin Lakes State Beach (13th Ave.) : 0 - 15,0,15,Twin Lakes State Beach (13th Ave.),3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.960918,-121.995002, , , , ,,0,0,1.76877583251798,0.00752371925426248,111852,4717773,24916,74326
112,Moran Lake Beach and Park : 0 - 15,0,15,Moran Lake Beach and Park,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.956356,-121.978352,https://www.coastal.ca.gov/access-photos/09_santa_cruz/06_santa_cruz_east/Moran_Lake_Beach_2013_11_17_9994.jpg, , , ,,0,0,2.05749308326894,0.00865545957197244,116209,4973320,25362,78247
113,Rockview Drive Overlook : 0 - 15,0,15,Rockview Drive Overlook,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.954592,-121.97489,https://www.coastal.ca.gov/access-photos/09_santa_cruz/06_santa_cruz_east/Rockview_Dr_Overlook_2010_09_07_6703.jpg,https://www.coastal.ca.gov/access-photos/09_santa_cruz/06_santa_cruz_east/Rockview_Dr_Overlook_2010_09_07_6704.jpg, , ,,0,0,1.81640115726214,0.00726324668819595,107704,4586559,24317,71995
114,Corcoran Lagoon Beach : 0 - 15,0,15,Corcoran Lagoon Beach,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.960376,-121.984161, , , , ,,0,0,2.29281803318278,0.0100315836152919,122473,5189491,26160,82859
115,26th Avenue Stair : 0 - 15,0,15,26th Avenue Stair,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.957822,-121.981402, , , , ,,0,0,2.0679293203255,0.00874291416069047,116662,4993288,25411,78593
116,Path to Harbor 2 : 0 - 15,0,15,Path to Harbor 2,3_Central Coast,8,Santa Cruz,Physical Access,Beach Access,Yes,No,36.966422,-122.004892, , , , ,,0,0,2.50495239909391,0.0101610002886764,127905,5170886,27096,85643
